"","worktime","sector","sex","isced11","country","Year","Total"
"299","FT","PRIV","F","ED65","TR","2005",NA
"300","FT","PRIV","F","ED65","UK","2005",NA
"301","FT","PRIV","F","ED7","AT","2005",NA
"302","FT","PRIV","F","ED7","BE","2005",NA
"303","FT","PRIV","F","ED7","BG","2005",NA
"304","FT","PRIV","F","ED7","CH","2005",NA
"305","FT","PRIV","F","ED7","CY","2005",NA
"306","FT","PRIV","F","ED7","CZ","2005",NA
"307","FT","PRIV","F","ED7","DE","2005",NA
"308","FT","PRIV","F","ED7","DK","2005",NA
"309","FT","PRIV","F","ED7","EE","2005",NA
"310","FT","PRIV","F","ED7","EL","2005",NA
"311","FT","PRIV","F","ED7","ES","2005",NA
"314","FT","PRIV","F","ED7","FI","2005",NA
"315","FT","PRIV","F","ED7","FR","2005",NA
"316","FT","PRIV","F","ED7","HR","2005",NA
"317","FT","PRIV","F","ED7","HU","2005",NA
"318","FT","PRIV","F","ED7","IE","2005",NA
"319","FT","PRIV","F","ED7","IS","2005",NA
"320","FT","PRIV","F","ED7","IT","2005",NA
"321","FT","PRIV","F","ED7","LI","2005",NA
"322","FT","PRIV","F","ED7","LT","2005",NA
"323","FT","PRIV","F","ED7","LU","2005",NA
"324","FT","PRIV","F","ED7","LV","2005",NA
"325","FT","PRIV","F","ED7","ME","2005",NA
"326","FT","PRIV","F","ED7","MK","2005",NA
"327","FT","PRIV","F","ED7","MT","2005",NA
"328","FT","PRIV","F","ED7","NL","2005",NA
"329","FT","PRIV","F","ED7","NO","2005",NA
"330","FT","PRIV","F","ED7","PL","2005",NA
"331","FT","PRIV","F","ED7","PT","2005",NA
"332","FT","PRIV","F","ED7","RO","2005",NA
"333","FT","PRIV","F","ED7","RS","2005",NA
"334","FT","PRIV","F","ED7","SE","2005",NA
"335","FT","PRIV","F","ED7","SI","2005",NA
"336","FT","PRIV","F","ED7","SK","2005",NA
"337","FT","PRIV","F","ED7","TR","2005",NA
"338","FT","PRIV","F","ED7","UK","2005",NA
"339","FT","PRIV","F","ED74","AT","2005",NA
"340","FT","PRIV","F","ED74","BE","2005",NA
"341","FT","PRIV","F","ED74","BG","2005",NA
"342","FT","PRIV","F","ED74","CH","2005",NA
"343","FT","PRIV","F","ED74","CY","2005",NA
"344","FT","PRIV","F","ED74","CZ","2005",NA
"345","FT","PRIV","F","ED74","DE","2005",NA
"346","FT","PRIV","F","ED74","DK","2005",NA
"347","FT","PRIV","F","ED74","EE","2005",NA
"348","FT","PRIV","F","ED74","EL","2005",NA
"349","FT","PRIV","F","ED74","ES","2005",NA
"350","FT","PRIV","F","ED74","FI","2005",NA
"351","FT","PRIV","F","ED74","FR","2005",NA
"352","FT","PRIV","F","ED74","HR","2005",NA
"353","FT","PRIV","F","ED74","HU","2005",NA
"354","FT","PRIV","F","ED74","IE","2005",NA
"355","FT","PRIV","F","ED74","IS","2005",NA
"356","FT","PRIV","F","ED74","IT","2005",NA
"357","FT","PRIV","F","ED74","LI","2005",NA
"358","FT","PRIV","F","ED74","LT","2005",NA
"359","FT","PRIV","F","ED74","LU","2005",NA
"360","FT","PRIV","F","ED74","LV","2005",NA
"361","FT","PRIV","F","ED74","ME","2005",NA
"362","FT","PRIV","F","ED74","MK","2005",NA
"363","FT","PRIV","F","ED74","MT","2005",NA
"364","FT","PRIV","F","ED74","NL","2005",NA
"365","FT","PRIV","F","ED74","NO","2005",NA
"366","FT","PRIV","F","ED74","PL","2005",NA
"367","FT","PRIV","F","ED74","PT","2005",NA
"368","FT","PRIV","F","ED74","RO","2005",NA
"369","FT","PRIV","F","ED74","RS","2005",NA
"370","FT","PRIV","F","ED74","SE","2005",NA
"371","FT","PRIV","F","ED74","SI","2005",NA
"372","FT","PRIV","F","ED74","SK","2005",NA
"373","FT","PRIV","F","ED74","TR","2005",NA
"374","FT","PRIV","F","ED74","UK","2005",NA
"375","FT","PRIV","F","ED75","AT","2005",NA
"376","FT","PRIV","F","ED75","BE","2005",NA
"377","FT","PRIV","F","ED75","BG","2005",NA
"378","FT","PRIV","F","ED75","CH","2005",NA
"379","FT","PRIV","F","ED75","CY","2005",NA
"380","FT","PRIV","F","ED75","CZ","2005",NA
"381","FT","PRIV","F","ED75","DE","2005",NA
"382","FT","PRIV","F","ED75","DK","2005",NA
"383","FT","PRIV","F","ED75","EE","2005",NA
"384","FT","PRIV","F","ED75","EL","2005",NA
"385","FT","PRIV","F","ED75","ES","2005",NA
"386","FT","PRIV","F","ED75","FI","2005",NA
"387","FT","PRIV","F","ED75","FR","2005",NA
"388","FT","PRIV","F","ED75","HR","2005",NA
"389","FT","PRIV","F","ED75","HU","2005",NA
"390","FT","PRIV","F","ED75","IE","2005",NA
"391","FT","PRIV","F","ED75","IS","2005",NA
"392","FT","PRIV","F","ED75","IT","2005",NA
"393","FT","PRIV","F","ED75","LI","2005",NA
"394","FT","PRIV","F","ED75","LT","2005",NA
"395","FT","PRIV","F","ED75","LU","2005",NA
"396","FT","PRIV","F","ED75","LV","2005",NA
"397","FT","PRIV","F","ED75","ME","2005",NA
"398","FT","PRIV","F","ED75","MK","2005",NA
"399","FT","PRIV","F","ED75","MT","2005",NA
"400","FT","PRIV","F","ED75","NL","2005",NA
"401","FT","PRIV","F","ED75","NO","2005",NA
"402","FT","PRIV","F","ED75","PL","2005",NA
"403","FT","PRIV","F","ED75","PT","2005",NA
"404","FT","PRIV","F","ED75","RO","2005",NA
"405","FT","PRIV","F","ED75","RS","2005",NA
"406","FT","PRIV","F","ED75","SE","2005",NA
"407","FT","PRIV","F","ED75","SI","2005",NA
"408","FT","PRIV","F","ED75","SK","2005",NA
"409","FT","PRIV","F","ED75","TR","2005",NA
"410","FT","PRIV","F","ED75","UK","2005",NA
"411","FT","PRIV","F","ED8","AT","2005",NA
"412","FT","PRIV","F","ED8","BE","2005",NA
"413","FT","PRIV","F","ED8","BG","2005",NA
